Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5
1 1 1 5 1 2 CG 60.40 2.45 0 1 3 0.017950 0.180891 7 0.198840 16
1 1 2 1 1 3 CC 90.64 2.27 1 3 3 0.062821 0.323040 125 0.385861 207
1 1 3 3 1 4 IFO 20.63 1.27 1 3 3 0.104282 0.205176 64 0.309458 67
1 1 4 2 1 1 CST 57.19 1.51 0 2 3 0.034802 0.189707 105 0.224510 288
1 1 5 4 1 5 ILF 13.15 1.52 1 2 2 0.135138 0.382347 39 0.247209 69
1 1 6 5 1 4 IFO 13.05 0.97 1 3 3 0.074520 0.241066 20 0.315585 34
1 1 7 1 1 3 CC 17.19 1.07 1 2 2 0.174784 0.347311 147 0.172527 79
1 1 8 3 1 5 ILF 13.76 1.17 1 2 2 0.121962 0.377767 51 0.255806 64
1 1 9 2 1 1 CST 34.80 1.49 1 2 2 0.101418 0.259539 90 0.158121 16
1 1 10 4 1 2 CG 31.07 0.66 1 2 2 0.043088 0.255476 47 0.212388 29
1 1 11 5 3 3 CC 37.00 1.18 0 1 3 0.059562 0.343223 30 0.402785 42
1 1 12 1 3 2 CG 58.93 2.42 0 1 3 0.013941 0.221219 19 0.235160 6
1 1 13 3 3 1 CST 24.90 2.27 1 3 3 0.091095 0.184554 21 0.275650 38
1 1 14 2 3 5 ILF 6.05 1.30 1 2 2 0.186808 0.477633 25 0.290825 27
1 1 15 4 3 4 IFO 6.97 0.59 1 3 3 0.073409 0.206517 25 0.279926 11
1 1 16 5 3 1 CST 102.52 1.44 1 2 2 0.054925 0.328146 8 0.273221 11
1 1 17 1 3 4 IFO 9.22 2.78 1 3 3 0.025840 0.247772 25 0.273612 17
1 1 18 3 3 2 CG 10.09 1.41 1 2 2 0.088227 0.269946 8 0.181719 5
1 1 19 2 3 5 ILF 3.87 1.30 1 2 2 0.151964 0.433052 16 0.281089 27
1 1 20 4 3 3 CC 14.65 1.17 1 2 2 0.198277 0.378055 40 0.179779 21
1 1 21 5 2 4 IFO 10.32 4.93 1 3 3 0.140878 0.183878 24 0.324756 29
1 1 22 1 2 1 CST 20.23 1.38 1 3 3 0.041798 0.198220 178 0.240018 42
1 1 23 3 2 5 ILF 14.38 1.52 1 2 2 0.144626 0.398147 69 0.253521 110
1 1 24 2 2 3 CC 18.92 1.06 1 3 3 0.075257 0.320379 95 0.395636 148
1 1 25 4 2 2 CG 13.52 1.26 1 2 2 0.013731 0.226572 33 0.212841 36
1 1 26 5 2 4 IFO 18.37 0.82 1 3 3 0.081953 0.240948 20 0.322901 31
1 1 27 1 2 2 CG 6.11 1.09 1 2 2 0.058341 0.246852 159 0.188511 115
1 1 28 3 2 1 CST 18.09 0.89 1 2 2 0.057711 0.326588 7 0.268877 12
1 1 29 2 2 5 ILF 16.84 1.25 1 2 2 0.108517 0.368321 68 0.259804 93
1 1 30 4 2 3 CC 13.71 1.09 1 2 2 0.169492 0.353727 55 0.184235 27
1 2 31 5 1 1 CST 30.88 1.04 1 2 2 9 0 0 0 0
1 2 32 1 1 5 ILF 40.02 0.85 0 1 2 20 0 0 0 0
1 2 33 3 1 3 CC 129.70 2.36 0 3 1 11 0 0 0 0
1 2 34 2 1 4 IFO 64.67 1.04 0 1 2 17 0 0 0 0
1 2 35 4 1 2 CG 21.46 1.01 1 1 1 4 0 0 0 0
1 2 36 5 1 4 IFO 21.44 2.22 1 3 3 4 0 0 0 0
1 2 37 1 1 5 ILF 46.65 1.30 1 2 2 24 0 0 0 0
1 2 38 3 1 2 CG 10.32 1.02 1 2 2 8 0 0 0 0
1 2 39 2 1 3 CC 23.83 2.83 0 3 2 21 0 0 0 0
1 2 40 4 1 1 CST 10.19 0.74 0 1 3 14 0 0 0 0
1 2 41 5 3 3 CC 9.31 1.10 1 1 1 10 0 0 0 0
1 2 42 1 3 4 IFO 23.08 1.86 1 3 3 24 0 0 0 0
1 2 43 3 3 1 CST 26.73 1.22 1 3 3 22 0 0 0 0
1 2 44 2 3 2 CG 16.60 2.33 1 2 2 12 0 0 0 0
1 2 45 4 3 5 ILF 8.21 2.12 1 2 2 8 0 0 0 0
1 2 46 5 3 4 IFO 5.01 0.86 1 3 3 4 0 0 0 0
1 2 47 1 3 3 CC 28.89 0.95 1 3 3 30 0 0 0 0
1 2 48 3 3 2 CG 7.19 1.31 1 2 2 5 0 0 0 0
1 2 49 2 3 5 ILF 12.83 2.77 0 3 2 18 0 0 0 0
1 2 50 4 3 1 CST 7.97 1.47 1 3 3 14 0 0 0 0
1 2 51 5 2 1 CST 51.74 1.20 1 2 2 9 0 0 0 0
1 2 52 1 2 4 IFO 26.18 1.58 1 3 3 24 0 0 0 0
