Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5 ec6 ec7 stereo
1 1 1 5 1 5 ILF 20.26 1.54 1 2 2 0.123699 0.379777 32 0.256078 42 0.019307 0.006194 2
1 1 2 1 1 2 CG 26.03 5.13 0 2 1 0.000173 0.200168 52 0.199995 93 0.005188 0.005497 2
1 1 3 3 1 3 CC 21.51 1.50 1 3 3 0.064932 0.337284 68 0.402217 101 0.014653 0.025497 2
1 1 4 2 1 1 CST 61.25 1.89 0 2 3 0.034802 0.189707 105 0.224510 288 0.004141 0.004376 2
1 1 5 4 1 4 IFO 10.51 2.24 1 3 3 0.101619 0.212555 38 0.314174 45 0.005395 0.010391 2
1 1 6 5 1 4 IFO 26.88 2.03 1 3 3 0.074520 0.241066 20 0.315585 34 0.007228 0.009236 2
1 1 7 1 1 2 CG 11.40 1.79 1 2 2 0.056719 0.247650 155 0.190931 105 0.011519 0.004733 2
1 1 8 3 1 3 CC 9.49 1.60 1 2 2 0.169901 0.347839 66 0.177938 35 0.009577 0.003677 2
1 1 9 2 1 5 ILF 13.78 1.32 1 2 2 0.108200 0.368033 68 0.259833 92 0.020689 0.003282 2
1 1 10 4 1 1 CST 37.84 1.13 1 2 2 0.072497 0.352947 54 0.280450 39 0.009050 0.015119 2
1 1 11 5 3 2 CG 23.09 5.04 1 2 2 0.060391 0.208729 3 0.148337 1 0.002215 0.000277 2
1 1 12 1 3 5 ILF 5.55 2.01 1 2 2 0.195103 0.482067 30 0.286964 32 0.011031 0.003955 2
1 1 13 3 3 4 IFO 12.30 1.35 1 3 3 0.085497 0.200806 31 0.286302 13 0.002749 0.010621 2
1 1 14 2 3 3 CC 39.65 7.51 1 3 3 0.020564 0.349781 74 0.370345 118 0.012386 0.023785 2
1 1 15 4 3 1 CST 18.29 1.96 1 3 3 0.021545 0.168402 5 0.189947 17 0.002612 0.002291 2
1 1 16 5 3 4 IFO 25.37 1.24 0 2 3 0.041264 0.258393 9 0.299657 7 0.004495 0.004678 2
1 1 17 1 3 5 ILF 5.11 2.00 1 2 2 0.175807 0.450275 18 0.274468 31 0.017527 0.000836 2
1 1 18 3 3 1 CST 16.96 1.38 0 3 2 0.036096 0.319960 16 0.283864 13 0.004582 0.015714 2
1 1 19 2 3 3 CC 15.00 1.56 1 2 2 0.199576 0.382308 67 0.182732 43 0.008263 0.004337 2
1 1 20 4 3 2 CG 6.57 1.34 1 2 2 0.160786 0.286801 2 0.126015 1 0.004157 0.000450 2
1 1 21 5 2 5 ILF 9.31 1.04 1 2 2 0.124534 0.380473 32 0.255939 41 0.019284 0.006193 2
1 1 22 1 2 1 CST 22.24 1.79 0 2 3 0.041798 0.198220 178 0.240018 42 0.004948 0.004738 2
1 1 23 3 2 3 CC 25.77 2.48 1 3 3 0.064673 0.337143 68 0.401816 101 0.014401 0.025423 2
1 1 24 2 2 2 CG 25.87 1.14 0 3 2 0.022648 0.214584 41 0.191936 52 0.005025 0.003658 2
